"SourceId","OriginalFile","Slice","Kept","Reason","Category","Width","Height","X","Y","InkPixels","ColorPixels","DarkPixels","Occupancy","SourceRelativePath","TypeRelativePath"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_001.png","True","kept","components","897","135","31","17","115885","43546","87436","0.957","sources/source_01/slice_001.png","by_type/components/source_01_001_897x135.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_011.png","True","kept","buttons","85","60","988","143","4179","1434","3363","0.8194","sources/source_01/slice_011.png","by_type/buttons/source_01_011_85x60.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_012.png","True","kept","buttons","80","60","1083","143","3843","1703","2881","0.8006","sources/source_01/slice_012.png","by_type/buttons/source_01_012_80x60.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_013.png","True","kept","buttons","80","60","1173","143","3883","2131","2782","0.809","sources/source_01/slice_013.png","by_type/buttons/source_01_013_80x60.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_014.png","True","kept","buttons","76","61","1263","143","3746","1777","2735","0.808","sources/source_01/slice_014.png","by_type/buttons/source_01_014_76x61.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_015.png","True","kept","buttons","69","61","1349","143","3445","1632","2551","0.8185","sources/source_01/slice_015.png","by_type/buttons/source_01_015_69x61.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_025.png","True","kept","cards","183","338","24","180","60113","18121","50555","0.9719","sources/source_01/slice_025.png","by_type/cards/source_01_025_183x338.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_026.png","True","kept","cards","183","338","221","181","59692","18300","49187","0.965","sources/source_01/slice_026.png","by_type/cards/source_01_026_183x338.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_027.png","True","kept","cards","181","337","416","181","59281","20325","48624","0.9719","sources/source_01/slice_027.png","by_type/cards/source_01_027_181x337.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_028.png","True","kept","cards","181","337","611","181","59097","20391","48562","0.9689","sources/source_01/slice_028.png","by_type/cards/source_01_028_181x337.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_029.png","True","kept","cards","179","337","805","181","58851","18970","48482","0.9756","sources/source_01/slice_029.png","by_type/cards/source_01_029_179x337.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_038.png","True","kept","buttons","227","43","1086","244","9232","3332","7403","0.9458","sources/source_01/slice_038.png","by_type/buttons/source_01_038_227x43.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_039.png","True","kept","buttons","227","42","1086","292","9232","5016","7077","0.9683","sources/source_01/slice_039.png","by_type/buttons/source_01_039_227x42.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_040.png","True","kept","buttons","227","43","1086","339","9184","5222","7120","0.9409","sources/source_01/slice_040.png","by_type/buttons/source_01_040_227x43.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_041.png","True","kept","buttons","226","42","1086","386","9093","4267","6990","0.958","sources/source_01/slice_041.png","by_type/buttons/source_01_041_226x42.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_042.png","True","kept","buttons","227","42","1085","432","9175","4599","6920","0.9623","sources/source_01/slice_042.png","by_type/buttons/source_01_042_227x42.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_043.png","True","kept","buttons","227","43","1085","478","9316","4865","7073","0.9544","sources/source_01/slice_043.png","by_type/buttons/source_01_043_227x43.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_091.png","True","kept","buttons","286","54","1050","555","14662","7933","11613","0.9494","sources/source_01/slice_091.png","by_type/buttons/source_01_091_286x54.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_116.png","True","kept","buttons","46","63","31","599","2741","1732","1937","0.9458","sources/source_01/slice_116.png","by_type/buttons/source_01_116_46x63.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_117.png","True","kept","buttons","48","63","88","599","2818","2105","2030","0.9319","sources/source_01/slice_117.png","by_type/buttons/source_01_117_48x63.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_118.png","True","kept","buttons","48","63","148","599","2871","1784","2272","0.9494","sources/source_01/slice_118.png","by_type/buttons/source_01_118_48x63.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_119.png","True","kept","buttons","48","63","207","599","2841","2104","2153","0.9395","sources/source_01/slice_119.png","by_type/buttons/source_01_119_48x63.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_120.png","True","kept","buttons","47","63","268","599","2827","1932","2092","0.9547","sources/source_01/slice_120.png","by_type/buttons/source_01_120_47x63.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_121.png","True","kept","buttons","48","63","327","599","2839","1768","2184","0.9388","sources/source_01/slice_121.png","by_type/buttons/source_01_121_48x63.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_122.png","True","kept","buttons","48","63","386","599","2836","1925","2032","0.9378","sources/source_01/slice_122.png","by_type/buttons/source_01_122_48x63.png"
